"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000008",95.1440789963134,-0.0406742635555942,0.222291574268781,-0.182977081742259,0.854816001136364,0.996676189356433
"FBgn0000014",1.05657219346166,-0.0849745609014856,2.11153703001126,-0.0402429887298887,0.9678994053212,0.996676189356433
"FBgn0000015",0.846723274987709,-1.86105506853254,2.26356906645849,-0.822177284585482,0.410976004964711,0.905002600904316
"FBgn0000017",4352.5928987935,-0.256129836536833,0.111857000490714,-2.28979711071456,0.0220330807355872,0.173844741424246
"FBgn0000018",418.614930505122,-0.0646901063348437,0.131722959797343,-0.491107293932433,0.623350562940806,0.988695741727824
"FBgn0000024",6.40628919476961,0.311096870090093,0.765881997167755,0.406194258698514,0.684599872234452,0.991681071978157
"FBgn0000028",0.438900024085017,0.911097194070597,2.97972964977357,0.305765052926809,0.759783538597072,0.992235948566949
"FBgn0000032",989.730032286706,-0.048442443147922,0.120786085369286,-0.401059799229489,0.688376097532814,0.991681071978157
"FBgn0000036",0.589596332729872,0.338271195792349,2.47491644066818,0.13667984511874,0.891283861268233,0.996676189356433
"FBgn0000037",14.0948138653578,0.455027492774418,0.533860903313688,0.852333426085429,0.394029058756002,0.88990671325661
"FBgn0000039",0.438900024085017,0.911097194070597,2.97972964977357,0.305765052926809,0.759783538597072,0.992235948566949
"FBgn0000042",82207.7246355838,0.30157542902028,0.123398905814926,2.4439068323068,0.0145291780377914,0.128196037910399
"FBgn0000043",31162.0800981548,0.60831086055869,0.110955478605083,5.48247700975463,4.19411518860677e-08,1.84192877603794e-06
"FBgn0000044",27.0142162829088,0.496834494499008,0.413784928309617,1.2007070835776,0.22986484539637,0.736292816774947
"FBgn0000045",6.49768786824646,0.326992123372586,0.774943837398841,0.42195589872701,0.673057207730766,0.991681071978157
"FBgn0000046",23.6865655871929,0.621665606892336,0.466278903273938,1.3332484110419,0.182450297251558,0.657897039631545
"FBgn0000047",9.27446768376142,0.802171460640394,0.672735653300083,1.19240218160784,0.233103585291626,0.738997419129377
"FBgn0000052",2342.87838063352,-0.171556441011791,0.113300100373742,-1.51417730828022,0.129980875302898,0.543082250434067
"FBgn0000053",2100.27876868186,0.249128439739102,0.105465947849871,2.36216944727725,0.0181683357860454,0.152226848004317
"FBgn0000054",654.288209497534,-0.120508429315668,0.119601799966282,-1.00758039887059,0.313655942746173,0.834169986672753
"FBgn0000057",682.648317882294,-0.0523076069837532,0.114049734223615,-0.458638569741816,0.646493734457916,0.991681071978157
"FBgn0000061",1.57835265432906,0.57121625339635,1.57268098511649,0.363211775816085,0.716446691622817,0.991852907537284
"FBgn0000063",404.771774959063,0.236643759068505,0.127059289833517,1.86246719447727,0.0625372653909687,0.345752348988168
"FBgn0000064",7917.16080656924,0.268919637517886,0.0832863165466652,3.22885737619589,0.00124285861617806,0.0182171140744084
